 %%% (Data source: Economic, LLC)
Month	rate
Jan-80	16.9
Feb-80	17.9
Mar-80	15.8
Apr-80	15.9
May-80	15.5
Jun-80	9.8
Jul-80	7.7
Aug-80	6.1
Sep-80	6
Oct-80	5.9
Nov-80	7.3
Dec-80	8.4
Jan-81	10.1
Feb-81	10.3
Mar-81	9.6
Apr-81	9.8
May-81	9
Jun-81	10.4
Jul-81	9.9
Aug-81	8.2
Sep-81	8.3
Oct-81	8
Nov-81	8.4
Dec-81	8.7
Jan-82	14
Feb-82	11.7
Mar-82	10.8
Apr-82	10.5
May-82	10.6
Jun-82	9.1
Jul-82	9.3
Aug-82	9
Sep-82	9.4
Oct-82	9.7
Nov-82	10.5
Dec-82	9.9
Jan-83	10.1
Feb-83	10.7
Mar-83	9.1
Apr-83	9
May-83	8.2
Jun-83	8.4
Jul-83	8.3
Aug-83	7.7
Sep-83	7.6
Oct-83	7.1
Nov-83	7.3
Dec-83	8.6
Jan-84	10
Feb-84	9
Mar-84	9.6
Apr-84	9.2
May-84	8.9
Jun-84	8.8
Jul-84	7.6
Aug-84	8.2
Sep-84	7.4
Oct-84	6.9
Nov-84	7.5
Dec-84	8.4
Jan-85	10.7
Feb-85	10.4
Mar-85	9.8
Apr-85	9.5
May-85	8.2
Jun-85	9.1
Jul-85	8.2
Aug-85	7.5
Sep-85	7.6
Oct-85	8.1
Nov-85	10.9
Dec-85	9.3
Jan-86	10.4
Feb-86	11.1
Mar-86	9.8
Apr-86	9.1
May-86	8.4
Jun-86	9.1
Jul-86	9.7
Aug-86	8
Sep-86	7.5
Oct-86	7.3
Nov-86	7.5
Dec-86	7.3
Jan-87	7
Feb-87	7.6
Mar-87	7.4
Apr-87	6.7
May-87	7.9
Jun-87	8.9
Jul-87	7.3
Aug-87	7.4
Sep-87	7.8
Oct-87	6.5
Nov-87	12.3
Dec-87	11.1
Jan-88	7.6
Feb-88	6.4
Mar-88	7
Apr-88	6.1
May-88	7.2
Jun-88	5.9
Jul-88	6.1
Aug-88	6
Sep-88	5.6
Oct-88	5.4
Nov-88	5.9
Dec-88	6.2
Jan-89	7.3
Feb-89	8
Mar-89	7.4
Apr-89	7.7
May-89	6.6
Jun-89	8.6
Jul-89	7
Aug-89	5.7
Sep-89	7
Oct-89	6.5
Nov-89	6.6
Dec-89	6.2
Jan-90	6.6
Feb-90	7
Mar-90	7.3
Apr-90	8.3
May-90	7.6
Jun-90	8.2
Jul-90	8.6
Aug-90	8.2
Sep-90	8.2
Oct-90	10.2
Nov-90	9.8
Dec-90	9
Jan-91	9.4
Feb-91	11.1
Mar-91	11.1
Apr-91	10.4
May-91	9.6
Jun-91	9.5
Jul-91	8.1
Aug-91	8.2
Sep-91	7.9
Oct-91	7.8
Nov-91	8.2
Dec-91	9.8
Jan-92	10.5
Feb-92	10.7
Mar-92	8.6
Apr-92	8.3
May-92	7.9
Jun-92	9
Jul-92	8.8
Aug-92	7.5
Sep-92	7.5
Oct-92	6.5
Nov-92	6.1
Dec-92	5.7
Jan-93	6.6
Feb-93	7
Mar-93	6.9
Apr-93	7.3
May-93	7.6
Jun-93	8.6
Jul-93	7.5
Aug-93	7
Sep-93	5.9
Oct-93	6.1
Nov-93	8.4
Dec-93	8.3
Jan-94	10.4
Feb-94	11.4
Mar-94	10.5
Apr-94	10.4
May-94	9
Jun-94	11.2
Jul-94	10.3
Aug-94	9.6
Sep-94	8.2
Oct-94	6.9
Nov-94	6.5
Dec-94	6
Jan-95	6.3
Feb-95	8.6
Mar-95	7.3
Apr-95	7.2
May-95	7.2
Jun-95	7.6
Jul-95	7.8
Aug-95	6.8
Sep-95	5.6
Oct-95	4.3
Nov-95	6.1
Dec-95	6
Jan-96	8.5
Feb-96	9.5
Mar-96	9.3
Apr-96	8.7
May-96	7.6
Jun-96	7.2
Jul-96	7
Aug-96	6.7
Sep-96	6.5
Oct-96	5.9
Nov-96	7.1
Dec-96	7.5
Jan-97	8.4
Feb-97	8.3
Mar-97	8.7
Apr-97	7.7
May-97	7.3
Jun-97	7.9
Jul-97	8.7
Aug-97	6.4
Sep-97	6
Oct-97	5.1
Nov-97	4.9
Dec-97	5.4
Jan-98	7.4
Feb-98	7.4
Mar-98	7.1
Apr-98	6.4
May-98	6.5
Jun-98	8.2
Jul-98	7.5
Aug-98	6.4
Sep-98	6.7
Oct-98	6.6
Nov-98	6.5
Dec-98	10.1
Jan-99	7.7
Feb-99	8.4
Mar-99	8.2
Apr-99	9
May-99	8.5
Jun-99	10.2
Jul-99	9
Aug-99	8
Sep-99	5.9
Oct-99	5
Nov-99	6
Dec-99	6.3
Jan-00	6
Feb-00	6.7
Mar-00	6.4
Apr-00	6.1
May-00	5.9
Jun-00	5.9
Jul-00	5.9
Aug-00	5.4
Sep-00	4.5
Oct-00	4
Nov-00	4.2
Dec-00	4.7
Jan-01	7.2
Feb-01	6.3
Mar-01	6.4
Apr-01	6.7
May-01	6.8
Jun-01	7.6
Jul-01	7.2
Aug-01	6.5
Sep-01	5.7
Oct-01	6.3
Nov-01	6
Dec-01	7
Jan-02	11.4
Feb-02	11.2
Mar-02	11.5
Apr-02	11.8
May-02	11.3
Jun-02	11.9
Jul-02	10.3
Aug-02	10.2
Sep-02	8.3
Oct-02	7.8
Nov-02	7.9
Dec-02	8.2
Jan-03	11
Feb-03	9.8
Mar-03	10.1
Apr-03	10.3
May-03	9.9
Jun-03	11.1
Jul-03	10.1
Aug-03	8.8
Sep-03	8.3
Oct-03	7.6
Nov-03	7.3
Dec-03	7.6
Jan-04	9.1
Feb-04	7.2
Mar-04	9.6
Apr-04	8.5
May-04	9.7
Jun-04	8.6
Jul-04	8
Aug-04	6.2
Sep-04	5.9
Oct-04	5.8
Nov-04	6.2
Dec-04	6.9
Jan-05	9.2
